source_sheet,source_row,variable,display_name,source_text,recoded_text,red_source_values,blue_source_values,black_or_missing_source_values,recoded_values,is_binary_recoded
cut-off 기준,1,qoa_01z1,주관적 건강수준,"1=매우 좋음, 2=좋음, 3=보통, 4=나쁨, 5=매우 나쁨, 7=응답거부, 9=모름","0=건강양호군(60.7%), 1=건강취약군(39.3%)",1;2,3;4;5,7;9,0;1,True
cut-off 기준,2,sma_03z2,일반담배(궐련) 현재흡연 여부,"1=매일 피운다, 2=가끔 피운다, 3=과거에는 피웠으나 현재 피우지 않는다 / 7=응답거부, 8=비해당, 9=모름","0=흡연경험있음(34%), 1=흡연경험없음(66%)",1;2;3,8,7;9,0;1,True
cut-off 기준,3,drb_01z3,연간 음주 빈도,"1=최근 1년간 전혀 마시지 않았다, 2=한 달에 1번 미만 / 3=한 달에 1번 정도, 4=한 달에 2~4번 정도, 5=일주일에 2~3번 정도 / 6=일주일에 4번 이상, 7=응답거부, 8=비해당, 9=모름","0=고빈도음주(46.2%), 1=저빈도음주(53.8%)",1;2;3,2;3;4;5;6;8,7;9,0;1,True
cut-off 기준,4,phb_01z1,걷기 실천 일수,"□ 일  0~4일, 5~7일 (연속형변수를 범주화함) / 77=응답거부,  99=모름","0=저활동(37.3%), 1=고활동(62.7%)",0;1;2;3;4,5;6;7,77;99,0;1,True
cut-off 기준,5,oba_01z1,본인 인지 체형,"1=매우 마른 편임 , 2=약간 마른 편임 , 3=보통임 , 4=약간 비만임  / 5=매우 비만임, 7=응답거부, 9=모름","0=마름(14.2%), 1=보통(41.1%), 2=비만(44.8%)",1;2,4;5,3;7;9,0;1;2,False
cut-off 기준,6,obb_01z1,체중조절 경험 여부,"1=몸무게를 줄이려고 노력했다, 2=몸무게를 유지하려고 노력했다 / 3=몸무게를 늘리려고 노력했다, 4=몸무게를 조절하기 위해 노력해 본 적 없다, 7=응답거부, 9=모름","0=체중조절여부있음(78.2%), 1=체중조절여부없음(21.8%)",1;2;3,4,7;9,0;1,True
cut-off 기준,7,hya_04z1,고혈압 진단 경험 여부,"1=예,  2=아니오,  7=응답거부, 9=모름","0=예(3.3%), 1=아니오(96.7%)",1,2,7;9,0;1,True
cut-off 기준,8,dia_04z1,당뇨병 진단경험 여부,"1=예,  2=아니오,  7=응답거부, 9=모름","0=예(1.4%), 1=아니오(98.6%)",1,2,7;9,0;1,True
cut-off 기준,9,ira_01z1,연간 사고중독 경험 여부,"1=예, 2=아니오, 7=응답거부, 9=모름","0=예(5.9%), 1=아니오(94.1%)",1,2,7;9,0;1,True
cut-off 기준,10,fma_04z1,기초생활수급자 여부,"1=그렇다,  2=지금은 아니지만, 과거에 수급자였던 적이 있다 / 3=아니다,  7=응답거부,  9=모름","0=수급경험있음(2.2%), 1=수급경험없음(97.8%)",1;2,3,7;9,0;1,True
